lat,lon,elev,UStmax
32.95,-85.95,201,33.1333333333333
33.15,-88.13,49,32.2
31.32,-86.5,107,33.6
33.58,-85.85,184,32.6333333333333
33.27,-85.83,308,31.8333333333333
31.17,-87.48,92,33.3333333333333
32.6,-85.5,223,32.7666666666667
33.45,-87.35,85,33.7
34.7,-86.88,183,32.5
33.4,-87,136,34.3
31.12,-87.03,49,34.4666666666667
31.07,-87.05,26,32.4333333333333
34.93,-85.75,201,30.8
32.03,-87.32,72,33.6
32.9,-87.25,139,32.5
33.28,-86.33,127,34.1666666666667
31.88,-85.45,183,33.2666666666667
30.38,-88.22,3,32.1
30.25,-88.08,2,31.6666666666667
32.52,-87.83,31,33.6
32,-85.08,67,33.2666666666667
31.43,-86.97,104,32.5666666666667
30.55,-87.88,7,32.5333333333333
34.37,-86.92,189,33.3666666666667
33.68,-87.83,110,32.9666666666667
31.43,-87.4,125,33.1
34.02,-86,168,31.9666666666667
32.83,-88.13,38,33.5666666666667
31.05,-85.88,46,32.7333333333333
32.7,-87.58,67,33.9666666666667
31.83,-86.63,134,34.6
34.23,-87.62,290,31.0666666666667
34.1,-87.98,159,32.8666666666667
31.35,-85.33,113,34.4666666666667
33.65,-85.6,259,32.0333333333333
31.95,-86.32,181,33.6333333333333
34.7,-86.58,185,32.7333333333333
32.9,-85.4,253,33.8666666666667
32.58,-88.18,49,33.6666666666667
32.47,-87.22,61,32.7666666666667
32.67,-85.92,104,32.6
32.45,-85.88,66,33.7333333333333
30.68,-88.23,66,33.5333333333333
32.3,-86.4,61,34.7666666666667
34.48,-87.3,197,32.5666666666667
34.75,-87.62,163,33.1666666666667
33.95,-86.48,262,31.7666666666667
32.63,-85.38,226,32.4
33.68,-86.7,185,32.6666666666667
30.55,-87.6,46,33.5
32.88,-86.22,198,31.9666666666667
34.5,-87.73,265,31.5333333333333
34.17,-86.82,244,32.3
34.28,-85.97,366,30.7
34.68,-86.05,187,32.7666666666667
32.42,-87,45,33.8666666666667
33.2,-86.2,149,33.6333333333333
33.43,-86.1,169,33
31.92,-87.73,123,33.8666666666667
32.88,-86.7,207,33.6333333333333
31.78,-85.95,152,33.3666666666667
33.23,-87.62,52,33.1333333333333
32.02,-85.75,134,33.1666666666667
34.57,-85.62,324,30.9666666666667
33.75,-88.12,55,32.5666666666667
31.65,-87.72,52,33.3333333333333
33.92,-87.83,143,32.5
33.95,-113.18,665,37.5666666666667
32.37,-112.87,549,38.3666666666667
34.23,-113.58,393,39.7333333333333
33.85,-109.13,2440,24.1666666666667
31.97,-111.38,839,35.9666666666667
33.47,-111.48,631,39.4
34.58,-113.17,1144,34.7
33.82,-111.63,503,39.0333333333333
34.67,-111.72,1168,34.6333333333333
36.9,-113.93,590,38.1666666666667
36.68,-110.53,2196,28.5333333333333
33.48,-109.77,1841,29.8333333333333
33.95,-114.02,284,40.7
32.33,-109.48,1147,35.0666666666667
36.2,-112.07,2562,24.0333333333333
33.38,-112.58,271,40.4666666666667
35.12,-114.6,177,42.8
35.87,-111.42,1308,35.8333333333333
36.15,-109.53,1710,32.8666666666667
33.82,-111.9,772,37.3666666666667
33,-111.53,433,39.6333333333333
32.3,-110.38,958,36.7333333333333
33.98,-112.37,607,37.7333333333333
33.22,-111.68,442,38.4
34.35,-111.7,808,38.3666666666667
32,-109.35,1615,30.6
37,-112.98,1528,32.6
34.3,-112.17,1149,34.3666666666667
31.35,-110.25,1598,31.0666666666667
34.2,-112.33,1805,29.6333333333333
32.98,-113.5,168,40.2
31.35,-109.53,1231,33.7333333333333
31.47,-109.6,1251,33.7333333333333
33.58,-114.42,143,40.7666666666667
32.75,-111.55,479,38.9666666666667
35.15,-111.73,2172,25.2666666666667
33.03,-111.38,458,37.4
33.02,-110,853,35.7
35.27,-111.73,2239,27.0666666666667
33.6,-111.72,482,40.8
32.95,-112.72,226,41.0666666666667
33.38,-112.07,366,37.9333333333333
36.05,-112.15,2068,27.4333333333333
34.02,-109.45,2583,23.8333333333333
34.47,-112.87,976,34.8333333333333
34.9,-110.17,1545,34.1
36.1,-112.1,759,40.2666666666667
34.75,-112.12,1601,31.1333333333333
34.97,-111.75,1562,30.4
35.2,-114.02,1079,33.8
31.97,-111.6,2086,26.2333333333333
35.55,-109.7,1981,30.3666666666667
33.27,-113.87,543,38.3333333333333
34.45,-114.37,147,42.0333333333333
33.33,-112.15,339,40.2666666666667
36.87,-111.6,978,39.3333333333333
33.12,-112.03,357,40.4666666666667
34.07,-109.85,2230,26
33.42,-111.8,376,40.1333333333333
33.4,-110.88,1085,34.8
34.62,-111.83,970,36.5333333333333
36.98,-110.1,1696,32.3333333333333
33.55,-111.45,555,38.7
34.93,-111.63,1972,26.7
31.35,-110.93,1147,33.7666666666667
32.57,-110.72,1333,31.8
31.93,-112.78,506,38.7333333333333
36.92,-111.45,1302,34.5
31.88,-109.2,1647,29.3333333333333
34.22,-114.22,125,40.8333333333333
34.23,-111.33,1479,32.1666666666667
31.92,-109.87,1366,33.7333333333333
34.8,-109.87,1665,32.9
33.43,-112.03,339,40.4333333333333
33.47,-112.07,337,39.8666666666667
34.12,-109.93,2121,27.1333333333333
34.1,-110.93,1540,31.3
34.57,-112.43,1586,30.9
33.87,-111.32,716,37.8666666666667
33.67,-114.23,268,40.6333333333333
33.67,-111.15,672,38.0666666666667
33.07,-111.75,392,40.4666666666667
32.82,-109.68,900,35.9
34.52,-109.38,1765,31.4666666666667
33.18,-110.53,772,36.9
35.2,-109.4,1806,32.0666666666667
32.27,-109.22,1101,35.7
31.48,-111.55,1094,33.0333333333333
35.32,-112.88,1600,31.8666666666667
34.25,-110.03,1954,29.4666666666667
31.55,-110.28,1402,32.1
34.5,-110.08,1720,31.4333333333333
34.5,-110.33,1853,30.6
34.13,-109.3,2145,28.6
33.55,-111.53,433,38.7666666666667
33.3,-111.1,915,35
32.72,-113.92,99,39.0666666666667
36.9,-109.1,1580,33.1666666666667
33.38,-111.97,360,39.1
31.7,-110.05,1405,33.4333333333333
36.13,-111.25,1506,32.6666666666667
32.25,-111.2,781,37.1333333333333
32.28,-110.95,710,37
32.25,-110.83,770,36.6666666666667
32.23,-110.95,742,36.6666666666667
32.27,-111,701,37.4666666666667
32.13,-110.95,780,37.6
31.57,-111.05,996,34.1
34.77,-112.03,1058,36.3
34.93,-112.82,1551,31.1333333333333
33.83,-109.97,1561,30.9333333333333
33.98,-112.73,639,38.8
34.73,-113.62,650,39.2666666666667
32.25,-109.83,1281,34.3333333333333
35.25,-112.18,2057,26.9333333333333
35.87,-114.65,244,41.2333333333333
35.68,-109.05,2059,29.5333333333333
35.02,-110.73,1489,31.3
35.52,-111.37,1494,33.7666666666667
34.87,-114.15,552,39.1
32.62,-114.65,58,40.9666666666667
32.83,-114.4,99,40.4666666666667
32.62,-114.63,34,40.4
32.67,-114.6,63,42
35.9,-91.08,78,33.3333333333333
34.8,-92.87,232,34.2333333333333
34.12,-93.05,61,33.1333333333333
34.03,-91.35,55,32.8333333333333
35.82,-91.78,174,33.5
35.75,-91.63,118,32.8333333333333
35.43,-91.1,67,33.4666666666667
34.55,-92.62,87,33.8666666666667
36.37,-94.22,397,30.8666666666667
35.12,-93.65,130,33.2333333333333
35.93,-89.92,76,32.7666666666667
35.1,-93.92,213,34.4333333333333
34.88,-91.18,61,32.7
34.95,-92.08,88,33.2333333333333
36.13,-92.13,116,31.7333333333333
33.6,-92.82,37,33.0333333333333
34.68,-91.3,52,33.0333333333333
35.47,-93.47,134,32.2666666666667
35.08,-92.47,94,33.2333333333333
36.43,-90.58,91,32.4
33.03,-91.93,55,33.7
35.22,-93.15,101,33.9
35.83,-93.2,726,28.1
34.03,-94.35,131,34.1333333333333
33.55,-91.38,44,34.6
34.97,-91.5,61,32.6666666666667
33.88,-91.5,49,34.1
33.22,-92.8,77,34.4666666666667
33.12,-91.27,43,33.9333333333333
36.42,-93.78,433,31.1333333333333
36.08,-91.62,149,33.5
36.1,-94.17,387,31.5
35.33,-94.37,141,34.4333333333333
35.65,-94.15,241,33.4
35.98,-92.72,183,32.6333333333333
36.43,-94.45,384,31.8333333333333
35.23,-92.38,110,32.2666666666667
35.52,-92,161,32.6333333333333
36.27,-93.15,419,30.9333333333333
34.55,-90.63,61,32.6666666666667
34.52,-93.05,217,34.6333333333333
36.07,-93.75,544,30.0666666666667
35.83,-90.7,107,32.2333333333333
35.67,-90.08,71,32.5333333333333
34.6,-92,70,32.2
36.4,-92.9,217,32.3333333333333
34.17,-92.58,80,33.1333333333333
34.73,-92.23,84,34.1666666666667
33.28,-93.23,98,33.2666666666667
34.37,-92.82,95,33.9666666666667
36.48,-91.53,198,31.6333333333333
34.73,-90.82,70,32.5666666666667
35.9,-92.63,320,30.9
34.57,-94.27,344,31.6
33.58,-91.83,76,33.8333333333333
34.55,-93.63,201,32.8
36.33,-92.5,244,31.7
35.85,-92.08,235,32.3666666666667
34.07,-93.7,146,31.5666666666667
33.97,-93.85,107,32.3333333333333
35.6,-91.28,69,32.7666666666667
34.95,-93.17,143,33.6666666666667
34.83,-92.27,172,32.8666666666667
33.77,-93.92,91,32.5666666666667
35.48,-93.82,119,32.8333333333333
36.03,-90.5,82,32.4666666666667
34.22,-92.02,66,33.1333333333333
36.27,-90.97,96,32.1666666666667
33.23,-91.5,37,34.4
33.8,-93.38,94,32.9666666666667
33.8,-91.27,46,33.6666666666667
34.38,-91.13,61,32.6
35.25,-91.73,76,33.7666666666667
34.28,-92.4,64,32.9333333333333
33.92,-92.85,52,33
34.47,-91.42,60,32.5
35.3,-93.65,152,32.7333333333333
33.45,-94,112,33.7333333333333
34.9,-94.1,206,33.5333333333333
33.6,-92.07,64,33.4333333333333
35.13,-90.18,67,32.4666666666667
